Console,GameName,Review,Score
XBOX,Turok: Evolution Review,Good,7
PS2,Turok: Evolution Review,Good,7
PS,Super Shot Soccer Review,Fair,6
PC,Medieval: Total War Review,Great,8
PC,Golf Resort Tycoon II Review,Fair,6
PC,Cossacks: The Art of War Review,Good,7
PC,Syberia Review,Superb,9
PC,Cultures Review,Mediocre,5
PC,The Outforce Review,Good,7
PS,MLB 2003 Review,Good,7
PS2,Pac-Man Fever Review,Mediocre,5
XBOX,Sega Soccer Slam Review,Great,8
PC,Mafia Review,Superb,9
PC,Space HoRSE Review,Fair,6
PC,Cultures 2: Gates of Asgard Review,Good,7
XBOX,Sega GT 2002 Review,Great,8
PC,Mobile Forces Review,Good,7
PS2,Commandos 2: Men of Courage Review,Good,7
